# Col 1 Col 2 Col 3 Col 4 Col 5
0.42,0.07,0.20,0.09,0.02
0.18,0.15,0.33,0.61,0.77
0.82,0.93,0.44,0.74,0.90
0.41,0.56,0.25,0.33,0.74
0.43,0.81,0.45,0.77,0.65
0.11,0.70,0.12,0.62,0.11
0.16,0.03,0.28,0.84,0.99
0.99,0.58,0.70,0.37,0.79
0.81,0.85,0.19,0.19,0.67
0.16,0.30,0.77,0.74,0.42
0.59,0.81,0.72,0.54,0.52
0.31,0.45,0.66,0.79,0.86
0.18,0.97,0.40,0.63,0.01
0.31,0.93,0.75,0.68,0.58
0.79,0.49,0.36,0.77,0.57
0.11,0.33,0.24,0.34,0.07
0.08,0.16,0.77,0.39,0.95
0.14,0.33,0.27,0.70,0.52
0.59,0.32,0.13,0.30,0.16
0.45,0.46,0.92,0.62,0.97
0.06,0.00,0.33,0.53,0.24
0.06,0.50,0.75,0.62,0.62
0.14,0.84,0.30,0.56,0.28
0.34,0.34,0.85,0.50,0.27
0.44,0.58,0.20,0.93,0.04
0.32,0.80,0.57,0.98,0.08
0.90,0.75,0.59,0.07,0.76
0.81,0.15,0.78,0.00,0.44
0.22,0.13,0.78,0.95,0.73
0.89,0.44,0.35,0.09,0.39
0.48,0.56,0.17,0.76,0.68
0.03,0.20,0.86,0.99,0.06
0.08,0.79,0.02,0.70,0.96
0.39,0.77,0.76,0.30,0.74
0.52,0.72,0.56,0.97,0.65
0.40,0.48,0.49,0.34,0.95
0.08,0.20,0.23,0.35,0.79
0.03,0.33,0.65,0.34,0.15
0.55,0.02,0.19,0.28,0.58
0.57,0.07,0.18,0.98,0.94
0.10,0.19,0.88,0.76,0.22
0.82,0.13,0.71,0.93,0.84
0.41,0.87,0.77,0.77,0.33
0.47,0.79,0.26,0.86,0.46
0.47,0.60,0.77,0.91,0.33
0.87,0.63,0.70,0.70,0.35
0.50,0.17,0.45,0.77,0.95
0.27,0.77,0.90,0.93,0.16
0.67,0.23,0.75,0.13,0.02
0.19,0.27,0.23,0.98,0.22
0.78,0.19,0.27,0.80,0.05
0.02,0.34,0.94,0.93,0.76
0.50,0.10,0.40,0.61,0.84
0.30,0.79,0.47,0.77,0.49
0.91,0.19,0.65,0.83,0.19
0.19,0.22,0.26,0.36,0.64
0.20,0.94,0.05,0.25,0.70
0.76,0.96,0.56,0.51,0.36
0.30,0.17,0.93,0.90,0.91
0.13,0.07,0.41,0.54,0.99
0.87,0.24,0.41,0.05,0.84
0.08,0.53,0.52,0.27,0.09
0.06,0.54,0.86,0.91,0.87
0.17,0.38,0.49,0.11,0.47
0.30,0.37,0.62,0.74,0.56
0.17,0.08,0.55,0.49,0.87
0.01,0.24,0.22,0.27,0.17
0.71,0.35,0.70,0.88,0.31
0.60,0.58,0.23,0.09,0.18
0.81,0.07,0.93,0.28,0.83
0.17,0.51,0.37,0.78,0.97
0.27,0.30,0.23,0.99,0.32
0.38,0.47,0.90,0.34,0.85
0.35,0.25,0.94,0.55,0.36
0.28,0.70,0.93,0.79,0.51
0.40,0.85,0.22,0.28,0.01
0.67,0.00,0.36,0.82,0.22
0.38,0.93,0.95,0.67,0.25
0.14,0.70,0.33,0.66,0.48
0.55,0.72,0.86,0.25,0.56
0.64,0.16,0.68,0.16,0.58
0.43,0.05,0.33,0.85,0.92
0.69,0.90,0.97,0.41,0.84
0.95,0.65,0.67,0.06,0.88
0.43,0.09,0.82,0.80,0.64
0.71,0.94,0.69,0.24,0.94
1.00,0.91,0.32,0.97,0.12
0.57,0.76,0.32,0.92,0.03
0.91,0.97,0.22,0.14,0.08
0.96,0.85,0.45,0.96,0.64
0.48,0.68,0.78,0.88,0.32
0.24,0.77,0.79,0.89,0.22
0.86,0.78,0.12,0.57,0.56
0.95,0.99,0.39,0.68,0.06
0.89,0.92,0.77,0.14,0.11
0.19,0.89,0.19,0.38,0.66
0.23,0.97,0.71,0.34,0.56
0.09,0.25,0.75,0.37,0.36
0.91,0.23,0.76,0.37,0.63
0.77,0.64,0.34,0.29,0.98
