# Col 1 Col 2 Col 3 Col 4 Col 5
0.32,0.06,0.25,0.66,0.30
0.43,0.82,0.02,0.05,0.49
0.94,0.32,0.15,0.28,0.16
0.85,0.71,0.56,0.08,0.40
0.63,0.70,0.44,0.97,0.72
0.49,0.48,0.80,0.90,0.90
0.01,0.07,0.07,0.44,0.49
0.55,0.50,0.77,0.52,0.23
0.54,0.38,0.91,0.93,0.03
0.28,0.89,0.74,0.19,0.22
0.74,0.55,0.11,0.09,0.96
0.50,0.04,0.56,0.65,0.87
0.15,0.35,0.39,0.36,0.57
0.55,0.18,0.76,0.08,0.41
0.50,0.60,0.52,0.41,0.80
0.92,0.33,0.82,0.26,0.50
0.63,0.24,0.77,0.23,0.82
0.60,0.23,0.39,0.99,0.52
0.00,0.38,0.46,0.75,0.19
0.91,0.61,0.66,0.94,0.80
0.75,0.91,0.29,0.94,0.16
0.99,0.90,0.98,0.33,0.14
0.85,0.70,0.61,0.25,0.21
0.59,0.50,0.52,0.77,0.75
0.26,0.70,0.13,0.82,1.00
1.00,0.83,0.12,0.44,0.80
0.76,0.10,0.62,0.82,0.81
0.73,0.27,0.44,0.86,0.07
0.27,0.57,0.46,0.88,0.44
0.51,0.71,0.25,0.48,0.99
0.94,0.10,0.40,0.71,0.78
0.26,0.88,0.48,0.30,0.07
0.71,0.10,0.28,0.84,0.04
0.88,0.88,0.30,0.71,0.35
0.89,0.48,0.51,0.22,0.54
0.13,0.44,0.82,0.05,0.03
0.46,0.32,0.79,0.67,0.33
0.31,0.49,0.45,0.97,0.02
0.73,0.85,0.81,0.05,0.47
1.00,0.03,0.23,0.05,0.48
0.45,0.08,0.19,0.14,0.81
0.30,0.59,0.14,0.53,0.89
0.85,0.05,0.02,0.02,0.36
0.45,0.95,0.83,0.02,0.69
0.15,0.19,0.27,0.07,0.35
0.63,0.62,0.38,0.26,0.76
0.05,0.06,0.35,0.55,0.49
0.61,0.35,0.14,0.05,0.09
0.74,0.46,0.41,0.81,0.31
0.17,0.10,0.74,0.24,0.56
0.37,0.63,0.58,0.52,0.82
0.96,0.84,0.27,0.17,0.73
0.74,0.44,0.87,0.83,0.08
0.74,0.41,0.20,0.27,0.59
0.90,0.87,0.46,0.09,0.04
0.00,0.33,0.53,0.49,0.63
0.36,0.70,0.01,0.19,0.86
0.47,0.97,0.43,0.92,0.07
0.03,0.63,0.33,0.01,0.00
0.94,0.53,0.11,0.54,0.04
0.36,0.54,0.89,0.71,0.95
0.89,0.71,0.91,0.92,0.81
0.84,0.41,0.41,0.44,0.00
0.44,0.54,0.90,0.51,0.22
0.23,0.07,0.05,0.61,0.14
0.60,0.52,0.42,0.14,0.08
0.80,0.52,0.34,0.72,0.70
0.22,0.96,0.79,0.47,0.54
0.02,0.90,0.37,0.96,0.61
0.44,0.27,0.85,0.06,0.65
0.94,0.13,0.63,0.24,0.51
0.33,0.99,0.02,0.44,0.04
0.94,0.47,0.77,0.32,0.16
0.88,0.98,0.10,0.99,0.16
0.01,0.21,0.49,0.63,0.92
0.02,0.10,0.37,0.45,0.37
0.03,0.18,0.68,0.50,0.95
0.93,0.64,0.39,0.40,0.57
0.24,0.60,0.10,0.42,0.76
0.64,0.83,0.48,0.53,0.37
0.45,0.84,0.29,0.27,0.72
0.73,0.80,0.37,0.34,0.18
0.05,0.84,0.69,0.50,0.60
0.31,0.62,0.51,0.72,0.44
0.70,0.54,0.51,0.48,0.68
0.29,0.49,0.12,1.00,0.59
0.70,0.74,0.95,0.39,0.41
0.09,0.62,0.30,1.00,0.59
0.10,0.50,0.39,0.17,0.06
0.19,0.35,0.33,0.56,0.00
0.57,0.39,0.57,0.53,0.01
0.97,0.02,0.21,0.62,0.64
0.96,0.96,0.80,0.93,0.05
0.69,0.69,0.24,0.83,0.27
0.46,0.16,0.32,0.22,0.93
0.86,0.40,0.06,0.98,0.64
0.38,0.75,0.70,0.01,0.99
0.22,0.63,0.23,0.77,0.66
0.73,0.96,0.09,0.86,0.25
0.03,0.06,0.20,0.90,0.15
