# Col1, Col2, Col3, Col4
0.301;0.624;0.595;0.085
0.850;0.201;0.128;0.527
0.312;0.869;0.509;0.942
0.755;0.189;0.941;0.743
0.222;0.025;0.752;0.024
0.378;0.118;0.032;0.562
0.845;0.516;0.164;0.543
0.532;0.969;0.597;0.538
0.189;0.285;0.965;0.532
0.507;0.563;0.307;0.463
0.300;0.027;0.018;0.375
0.015;0.884;0.120;0.982
0.546;0.702;0.221;0.541
0.277;0.759;0.642;0.507
0.823;0.647;0.917;0.496
0.224;0.604;0.624;0.581
0.403;0.039;0.177;0.186
0.403;0.372;0.470;0.317
0.583;0.483;0.842;0.819
0.734;0.271;0.950;0.415
