# Col1, Col2, Col3, Col4
0.270;0.915;0.702;0.028
0.775;0.312;0.000;0.256
0.509;0.983;0.401;0.360
0.637;0.657;0.512;0.425
0.541;0.958;0.750;0.908
0.817;0.970;0.126;0.693
0.198;0.230;0.293;0.937
0.371;0.907;0.279;0.734
0.642;0.846;0.784;0.475
0.345;0.472;0.559;0.441
0.883;0.896;0.722;0.656
0.447;0.962;0.390;0.874
0.498;0.984;0.647;0.631
0.267;0.353;0.798;0.288
0.545;0.163;0.107;0.871
0.005;0.108;0.831;0.408
0.600;0.827;0.750;0.744
0.372;0.202;0.571;0.236
0.569;0.083;0.782;0.709
0.556;0.877;0.467;0.032
